intervention,parameter,mean,se_mean,sd,2.5%,97.5%
Kenya ILC,mortality_effect,0.8993311084029477,5.845722021215053e-4,0.05555895287398959,0.7744232427382,0.9893596142319985
Kenya ILC,morbidity_effect,0.7193379455497115,0.0010985930414088448,0.12085100055662165,0.4837791239725954,0.957141682482684
Kenya ILC,internal_validity_morbidity,0.9017319201111373,3.704345085737552e-4,0.050229958039483394,0.8040408587116658,1.0008271030364881
Kenya ILC,mortality_morbidity_scaling,1.0359118132065728,0.0013684593388737774,0.17799974232979426,0.7308015370783492,1.4232304505680184
Kenya ILC,frac_of_deaths_impacted_base,0.4231755405778772,0.0010397555326875742,0.12128802028256189,0.20668105778776077,0.6732985628549185
Kenya ILC,morbidity_effect_size,0.22270345542190842,8.775885181701328e-4,0.09666194248304298,0.03373924604638775,0.4127481236721081
Kenya ILC,mu_indirect,0.10178986183819441,5.909195332938198e-4,0.05619714250414533,0.01128911149845016,0.22807246356697117
Kenya ILC,mu_direct,0.10227959386260517,5.939253573554478e-4,0.056447896119973216,0.010810631940289524,0.2291859853779889
Kenya ILC,mu_combined,0.1020347278503998,5.920698185334014e-4,0.05621060386033569,0.011456324721602877,0.22852949234844155
Kenya ILC,mills_reincke_factor,2.51647565147108,0.006185386835002701,0.7032369253441454,1.2465826182269926,3.943024656719585
Kenya ILC,frac_et_else_impacted,0.43668793508166015,0.003384456947454295,0.38479001575434196,-0.2581591963160481,1.217252485123295
Kenya ILC,lp__,-4.999602662887069,0.01899411831870578,1.7344040811119121,-9.294603896696756,-2.7227383869981887
Kenya DSW,mortality_effect,0.8983064787026205,6.408526336340572e-4,0.055527727207107865,0.7738980705339058,0.9910312065895339
Kenya DSW,morbidity_effect,0.7201904637245026,0.0011231817714872673,0.12005533809859521,0.486856214906622,0.9582425522794006
Kenya DSW,internal_validity_morbidity,0.901717704744963,3.715632630241644e-4,0.050337349609188085,0.8029371409254903,1.0015710951675871
Kenya DSW,mortality_morbidity_scaling,1.0373319723898728,0.001384116898626961,0.17830254294112635,0.734372476001777,1.4308823161297455
Kenya DSW,frac_of_deaths_impacted_base,0.4251240909832565,0.0010526399328767478,0.12179451751585853,0.2082063958713798,0.6773182872687207
Kenya DSW,morbidity_effect_size,0.10308936332782585,4.179005819163485e-4,0.04460998997697225,0.015339872836610327,0.1913663764414226
Kenya DSW,mu_indirect,0.04621197373405177,2.92836705303441e-4,0.02527028343343134,0.0054618596171367925,0.10312707659480201
Kenya DSW,mu_direct,0.04718579388198408,2.973556220062025e-4,0.02576486542409801,0.004161520142456229,0.10491129527226768
Kenya DSW,mu_combined,0.04669888380801793,2.944514600905981e-4,0.02527914220357447,0.005513882688364674,0.1036930033175979
Kenya DSW,mills_reincke_factor,2.4787326658372795,0.006146757853044605,0.7021271681831635,1.2210419625304376,3.926829428483487
Kenya DSW,frac_et_else_impacted,0.4160361127537315,0.003363320334684793,0.3841827901379582,-0.2721342720745404,1.2083909451450525
Kenya DSW,lp__,-4.965682391645232,0.018039504713097024,1.7138218564639942,-9.243862683247713,-2.7109839579713118
Uganda DSW,mortality_effect,0.8799443897464526,9.083245194433336e-4,0.0695086918885367,0.7278113691664185,0.9926871741311158
Uganda DSW,morbidity_effect,0.729777796268664,0.0010299457544028236,0.11585094655685341,0.5009687052458489,0.957827792833514
Uganda DSW,internal_validity_morbidity,0.9013186591629161,3.5246407373541207e-4,0.0499812753177412,0.8019538397671447,0.9983531764193535
Uganda DSW,mortality_morbidity_scaling,1.026909811437814,0.0016103292062002211,0.1771628978620438,0.7250329579795805,1.4196397564853334
Uganda DSW,frac_of_deaths_impacted_base,0.33603114640009274,0.0014651400901069462,0.1446753133450163,0.08445826999811927,0.6390235045862263
Uganda DSW,morbidity_effect_size,0.15880721096217182,6.113150680944186e-4,0.06860803178318445,0.02498204222822483,0.2952329265514688
Uganda DSW,mu_indirect,0.055885636717971685,4.274774017947628e-4,0.03265593685682966,0.005040480294420086,0.12746973735237702
Uganda DSW,mu_direct,0.056666248039674384,4.2872917317724927e-4,0.03280810257138911,0.003451653810113351,0.12847303375345046
Uganda DSW,mu_combined,0.05627594237882304,4.278291600775115e-4,0.03254425994663014,0.004896500394920099,0.1276111950554723
Uganda DSW,mills_reincke_factor,6.693349883375598,0.0290438195714169,2.815464942223622,1.711973594391581,12.508008130452833
Uganda DSW,frac_et_else_impacted,0.4720318964843397,0.003393884534188033,0.32899815055197235,-0.11006151256547814,1.1514975792888704
Uganda DSW,lp__,-4.717050454417917,0.019174422661127684,1.7616261163099312,-9.046541581233843,-2.4243271952330416
Malawi DSW,mortality_effect,0.9066554726542305,0.0010387361678636845,0.05451265781886694,0.7795254028192168,0.9927458696891888
