intervention,parameter,mean,se_mean,sd,2.5%,97.5%
Kenya ILC,mortality_effect,0.8921733155240543,5.521650028905662e-4,0.057850419909248094,0.7633651198128762,0.9871487407458086
Kenya ILC,morbidity_effect,0.7202516765719206,9.360177865867598e-4,0.1175236093331677,0.49319524707859064,0.9539756269419624
Kenya ILC,internal_validity_morbidity,0.9020278523984069,3.6216626566617117e-4,0.049843008551064334,0.8037639776186034,0.9999018989939152
Kenya ILC,mortality_morbidity_scaling,1.0361854705247229,0.001329565312562189,0.1770720348223571,0.7284533216401561,1.4192968053392696
Kenya ILC,frac_of_deaths_impacted_base,0.4222466652954775,9.94197029292179e-4,0.12067526821589895,0.20718495728758368,0.6699662267646547
Kenya ILC,morbidity_effect_size,0.2220347241016244,7.538246303016027e-4,0.09405426341386505,0.036371261455175406,0.40623918321215235
Kenya ILC,mu_indirect,0.10089762349285965,5.201516000575778e-4,0.05416928814077765,0.01284465274697089,0.22122682790544196
Kenya ILC,mu_direct,0.10133551807049372,5.189246697165549e-4,0.05436782463071116,0.012077613447089021,0.2223894603998587
Kenya ILC,mu_combined,0.10111657078167668,5.190956414041588e-4,0.0541539343607672,0.012946577918386019,0.22154950722121328
Kenya ILC,diarrhea_rr_adjusted,0.7801600439475564,7.355686945535548e-4,0.09235581752314014,0.601727963034402,0.9638317898515609
Kenya ILC,mills_reincke_factor,2.510216032438901,0.005886820133973826,0.6990331943730883,1.2470087207928364,3.926025348459789
Kenya ILC,frac_other_infections_impacted,0.43326286051688284,0.0032210902619856695,0.38248986107206645,-0.25792604585549195,1.207950976830199
Kenya ILC,lp__,-4.902136562331566,0.018801160102180303,1.7004149776600375,-9.101385422579376,-2.6608392925550146
Kenya DSW,mortality_effect,0.8909073355822044,5.835274722464596e-4,0.058466400654606,0.7616411665779399,0.9900151679836087
Kenya DSW,morbidity_effect,0.7199724374883257,0.0010390342686341606,0.11943019678463844,0.48714934189479075,0.9584823001051807
Kenya DSW,internal_validity_morbidity,0.9018998924527879,3.6119522723527804e-4,0.04978569971141768,0.8037266169150379,0.9995085887961291
Kenya DSW,mortality_morbidity_scaling,1.0358639433246701,0.0013349990928572648,0.17721101466686012,0.7313478695214626,1.4247555178536235
Kenya DSW,frac_of_deaths_impacted_base,0.4230026702752078,9.642855426171323e-4,0.121530799242304,0.20768385558978017,0.6714611720072887
Kenya DSW,morbidity_effect_size,0.10318970542710683,3.870914705401555e-4,0.04438252118064296,0.015142303347447044,0.19071782582256533
Kenya DSW,mu_indirect,0.04578351036410541,2.4618508254735676e-4,0.024601359014797645,0.005389253210851066,0.10076947617096652
Kenya DSW,mu_direct,0.04682257156811789,2.5044999108817976e-4,0.025093779160956814,0.00428548990143514,0.10230361130474812
Kenya DSW,mu_combined,0.04630304096611165,2.4751074710498735e-4,0.02459500544240497,0.0055667845943147935,0.10110715469762484
Kenya DSW,diarrhea_rr_adjusted,0.7799406041771466,8.165240997851566e-4,0.09385410747321143,0.596976794149397,0.9673733547052976
Kenya DSW,mills_reincke_factor,2.466283234558027,0.005607212813701737,0.7003431020905935,1.215068563930083,3.892103536909141
Kenya DSW,frac_other_infections_impacted,0.4092241597896122,0.0030680975773084763,0.3832066030306998,-0.2754027354596403,1.1893899856043721
Kenya DSW,lp__,-4.931138539817122,0.018098853831974033,1.7330951353223685,-9.240438697418037,-2.654363956820513
Uganda DSW,mortality_effect,0.8739176179944143,7.67008609074644e-4,0.07091090251253708,0.7226652651583151,0.9909411796125875
Uganda DSW,morbidity_effect,0.7315216195364841,9.555034681628295e-4,0.11339190846885129,0.5092448852000274,0.9536886938246749
Uganda DSW,internal_validity_morbidity,0.9012460659438966,3.5238649993028125e-4,0.05029464596212816,0.8028874123107913,0.9999439329622956
Uganda DSW,mortality_morbidity_scaling,1.025203073740315,0.0012022223614324297,0.1740127680659453,0.7269321216083809,1.4066956751010085
Uganda DSW,frac_of_deaths_impacted_base,0.3307911151475058,0.0011781831783296273,0.14081722007398562,0.08850435924062654,0.6280814440483375
Uganda DSW,morbidity_effect_size,0.15774282908040765,5.689724081406544e-4,0.06709790933615364,0.02684702552871544,0.29061381832697436
Uganda DSW,mu_indirect,0.054285832722588336,3.36166523341643e-4,0.03081438973157281,0.005330524179926133,0.12038257826943854
Uganda DSW,mu_direct,0.055047567983638725,3.3487595872199084e-4,0.03095970003697381,0.003955080981144258,0.12108434523187964
Uganda DSW,mu_combined,0.05466670035311353,3.353236275246874e-4,0.030680968056058848,0.005430361654245633,0.12024092982768923
Uganda DSW,diarrhea_rr_adjusted,0.7890165179942371,7.508814990373933e-4,0.08910892429674834,0.614340556010965,0.9636063037320323
Uganda DSW,mills_reincke_factor,6.588239481593219,0.023352939503281996,2.7378755142141546,1.7953205443836229,12.305569810320074
Uganda DSW,frac_other_infections_impacted,0.45974933268055607,0.002728882818361024,0.3199315207621016,-0.1003220936900036,1.1278418654756044
